reaction,download_url,T2,λ2,author_year,comments,λ1,name,doi,T1,fname
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_Matsumi(2002)_253K_220-340nm.txt,NaN,340.0,Matsumi(2002),Evaluation paper of O(,220.0,ozone → O(1D)+O2, https://doi.org/10.1029/2001JD000510,253.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_Matsumi(2002)_253K_220-340nm.csv
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_Matsumi(2002)_273K_220-340nm.txt,NaN,340.0,Matsumi(2002),Evaluation paper of O(,220.0,ozone → O(1D)+O2, https://doi.org/10.1029/2001JD000510,273.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_Matsumi(2002)_273K_220-340nm.csv
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_Matsumi(2002)_298K_220-340nm.txt,NaN,340.0,Matsumi(2002),Evaluation paper of O(,220.0,ozone → O(1D)+O2, https://doi.org/10.1029/2001JD000510,298.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.csv
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_Matsumi(2002)_321K_220-340nm.txt,NaN,340.0,Matsumi(2002),Evaluation paper of O(,220.0,ozone → O(1D)+O2, https://doi.org/10.1029/2001JD000510,321.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.csv
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_Silvente(1997)_295K_301-336nm.txt,NaN,336.0,Silvente(1997),,301.0,ozone → O(1D)+O2, https://doi.org/10.1016/S0009-2614(96)01342-5,295.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_Silvente(1997)_295K_301-336nm.csv
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_Smith(2000)_226K_312-337nm.txt,NaN,337.0,Smith(2000),,312.0,ozone → O(1D)+O2, https://doi.org/10.1021/jp001006d,226.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_Smith(2000)_226K_312-337nm.csv
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_Smith(2000)_263K_312-337nm.txt,NaN,337.0,Smith(2000),,312.0,ozone → O(1D)+O2, https://doi.org/10.1021/jp001006d,263.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_Smith(2000)_263K_312-337nm.csv
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_Smith(2000)_298K_295-338nm.txt,NaN,338.0,Smith(2000),,295.0,ozone → O(1D)+O2, https://doi.org/10.1021/jp001006d,298.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_Smith(2000)_298K_295-338nm.csv
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_Takahashi(1996)_298K_308.07-325.90nm.txt,NaN,325.9,Takahashi(1996),,308.07,ozone → O(1D)+O2, https://doi.org/10.1021/jp9528065,298.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_Takahashi(1996)_298K_308.csv
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_Takahashi(1998)_227K_304.56-313.53nm.txt,NaN,313.53,Takahashi(1998),,304.56,ozone → O(1D)+O2, https://doi.org/10.1063/1.476133,227.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_Takahashi(1998)_227K_304.csv
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_Takahashi(1998)_295K_304.19-328.95nm.txt,NaN,328.95,Takahashi(1998),,304.19,ozone → O(1D)+O2, https://doi.org/10.1063/1.476133,295.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_Takahashi(1998)_295K_304.csv
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_Talukdar(1998)_203K_306-329nm.txt,NaN,329.0,Talukdar(1998),,306.0,ozone → O(1D)+O2, https://doi.org/10.1029/97GL03354,203.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_Talukdar(1998)_203K_306-329nm.csv
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_Talukdar(1998)_223K_306-329nm.txt,NaN,329.0,Talukdar(1998),,306.0,ozone → O(1D)+O2, https://doi.org/10.1029/97GL03354,223.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_Talukdar(1998)_223K_306-329nm.csv
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_Talukdar(1998)_253K_306-328nm.txt,NaN,328.0,Talukdar(1998),,306.0,ozone → O(1D)+O2, https://doi.org/10.1029/97GL03354,253.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_Talukdar(1998)_253K_306-328nm.csv
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_Talukdar(1998)_273K_306-329nm.txt,NaN,329.0,Talukdar(1998),,306.0,ozone → O(1D)+O2, https://doi.org/10.1029/97GL03354,273.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_Talukdar(1998)_273K_306-329nm.csv
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_Talukdar(1998)_298K_306-328nm.txt,NaN,328.0,Talukdar(1998),,306.0,ozone → O(1D)+O2, https://doi.org/10.1029/97GL03354,298.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_Talukdar(1998)_298K_306-328nm.csv
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_Talukdar(1998)_321K_306-329nm.txt,NaN,329.0,Talukdar(1998),,306.0,ozone → O(1D)+O2, https://doi.org/10.1029/97GL03354,321.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_Talukdar(1998)_321K_306-329nm.csv
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_Taniguchi(2000)_295K_297-308nm.txt,NaN,308.0,Taniguchi(2000),,297.0,ozone → O(1D)+O2, https://doi.org/10.1021/jp001706i,295.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_Taniguchi(2000)_295K_297-308nm.csv
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_TrolierWiesenfeld(1988)_295K_274-325nm.txt,NaN,325.0,TrolierWiesenfeld(1988),,274.0,ozone → O(1D)+O2, https://doi.org/10.1029/JD093iD06p07119,295.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_TrolierWiesenfeld(1988)_295K_274-325nm.csv
